image_uid,image_path,style,style_abbrev,metric,dc,dw
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.8679343308395677,0.9427472984206152
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.9036783042394017,0.9479426433915212
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.7318162926018288,0.9793225270157938
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.4898171238570241,0.5101828761429759
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.6610556940980881,0.3930798004987531
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.2210099750623441,0.3727140482128014
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.1673940149625935,0.8326059850374065
data/compromise_building/apartment/town/1|1,data/compromise_building/apartment/town/1.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.5743973399833749,0.4416043225270158
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.3843516209476309,0.648067331670823
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.891209476309227,0.2654821280133001
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.180694098088113,0.5487323358270989
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.095906068162926,0.904093931837074
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.4176018287614298,0.190045719035744
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7043848711554447,0.8207605985037406
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.2012676641729011,0.7987323358270989
data/compromise_building/apartment/town/10|10,data/compromise_building/apartment/town/10.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.7644430590191189,0.3506857855361596
