image_uid,image_path,style,style_abbrev,metric,dc,dw
demo/Eva_Set/CH-AD/DSC_1996.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_1996.jpg,Chinese_Art_Deco,Ch-AD,Col_HSV-B_demo,0.8502019178804004,
demo/Eva_Set/CH-AD/DSC_1996.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_1996.jpg,Chinese_Art_Deco,Ch-AD,Str_SSIM-D_demo,1.0425472511725284,
demo/Eva_Set/CH-AD/DSC_2084.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2084.jpg,Chinese_Art_Deco,Ch-AD,Col_HSV-B_demo,0.5617385802473827,
demo/Eva_Set/CH-AD/DSC_2084.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2084.jpg,Chinese_Art_Deco,Ch-AD,Str_SSIM-D_demo,0.772542470911705,
demo/Eva_Set/CH-AD/DSC_2087.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2087.jpg,Chinese_Art_Deco,Ch-AD,Col_HSV-B_demo,0.902207479921118,
demo/Eva_Set/CH-AD/DSC_2087.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2087.jpg,Chinese_Art_Deco,Ch-AD,Str_SSIM-D_demo,0.9676433248604015,
demo/Eva_Set/CH-AD/DSC_2201.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2201.jpg,Chinese_Art_Deco,Ch-AD,Col_HSV-B_demo,0.7862978934322745,
demo/Eva_Set/CH-AD/DSC_2201.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2201.jpg,Chinese_Art_Deco,Ch-AD,Str_SSIM-D_demo,0.9672710744608051,
demo/Eva_Set/CH-AD/DSC_2308.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2308.jpg,Chinese_Art_Deco,Ch-AD,Col_HSV-B_demo,0.9096226755215528,
demo/Eva_Set/CH-AD/DSC_2308.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-AD/DSC_2308.jpg,Chinese_Art_Deco,Ch-AD,Str_SSIM-D_demo,0.6625139398081883,
