style_abbrev,dimension,n,mean_DimFS,median_DimFS
Ch-AD,Colour,1477,0.5162515892636925,0.5201508910685051
Ch-AD,Perceptual,1477,0.5139052630054164,0.512887585
Ch-AD,Semantic,1477,0.4621312569201083,0.474453489
Ch-AD,Structure,1477,0.5143337063270288,0.5141915299926202
Ch-AD,Texture,1477,0.45305521877625765,0.4508549674836148
Ch-BAR,Colour,283,0.5250881973811649,0.5648382948722503
Ch-BAR,Perceptual,283,0.47539771713427564,0.46931276
Ch-BAR,Semantic,283,0.47128876256890456,0.48500858
Ch-BAR,Structure,283,0.3012108821706406,0.2663658053766633
Ch-BAR,Texture,283,0.449262807764653,0.4493733148324746
Ch-BYZ,Colour,115,0.4609882589661209,0.4561751822705495
Ch-BYZ,Perceptual,115,0.47193811090434784,0.439327798
Ch-BYZ,Semantic,115,0.4540552539217391,0.474453489
Ch-BYZ,Structure,115,0.5115989569621338,0.5103374868840063
Ch-BYZ,Texture,115,0.4488238680295172,0.4491403883426327
Ch-GOTH,Colour,93,0.4989067176873663,0.5117779248511289
Ch-GOTH,Perceptual,93,0.373960037172043,0.359320782
Ch-GOTH,Semantic,93,0.462245552172043,0.476987411
Ch-GOTH,Structure,93,0.5515794420871286,0.5397980067960406
Ch-GOTH,Texture,93,0.4347645072528089,0.4347590893219741
Ch-NEO,Colour,438,0.355553484149443,0.35614264244258653
Ch-NEO,Perceptual,438,0.3726746807442922,0.3152061655
Ch-NEO,Semantic,438,0.396367891936073,0.3929633885
Ch-NEO,Structure,438,0.5024208919936964,0.5045328500885
Ch-NEO,Texture,438,0.44542204755723774,0.44503906001991933
